COMPANY,CATEGORY
Manpower,Business services & supplies
Corus Group,Materials
Telus,Telecommunications services
Ecolab,Chemicals
Bbloise Group,Insurance
Monsanto,Chemicals
RadioShack,Retailing
New York Times,Media
Severn Trent,Utilities
Boston Properties,Diversified financials
Shizuoka Bank,Banking
Oxford Health Plans,Health care equipment & services
OTP Bank,Banking
Smurfit-Stone,Materials
GKN,Consumer durables
Konica Minolta,Household & personal products
S-Oil South,Oil & gas operations
General Growth Prop,Diversified financials
Northeast Utilities,Utilities
Korea Gas,Utilities
MOL,Oil & gas operations
First American,Insurance
Sumitomo Realty & Dev,Diversified financials
Hibernia,Banking
Rallye,Retailing
Tobu Railway,Transportation
Symantec,Software & services
Washington Post,Media
M-real,Materials
Agfa-Gevaert,Household & personal products
Tomkins,Conglomerates
KB Home,Construction
Altana,Drugs & biotechnology
Amersham,Health care equipment & services
Koram Bank,Banking
Sappi,Materials
Investor,Diversified financials
Reuters Group,Media
Caesars Entertainment,Hotels restaurants & leisure
Ball,Materials
Knight Ridder,Media
Daikyo,Diversified financials
Softbank,Software & services
Delta Air Lines,Transportation
Oriental Land,Media
Leggett & Platt,Consumer durables
Taisho Pharmaceutical,Drugs & biotechnology
Deutsche Boerse,Diversified financials
Sealed Air,Materials
Bank Leumi Group,Banking
Health Net,Health care equipment & services
BPER-Emilia Romagna,Banking
W&W-Wustenrot,Diversified financials
Nippon Mining,Oil & gas operations
Acciona,Construction
Pirelli & C,Diversified financials
Doral Financial,Banking
UAL,Transportation
Reliant Resources,Utilities
Banco de Chile,Banking
Constellation Brands,Food drink & tobacco
Bangkok Bank,Banking
RJ Reynolds Tobacco,Food drink & tobacco
Brookfield Properties,Diversified financials
Whitbread Holdings,Hotels restaurants & leisure
Krung-Thai Bank,Banking
Pinnacle West,Utilities
Keppel,Diversified financials
Astoria Financial,Banking
Remgro,Conglomerates
Univision Commun,Media
Maxim Integrated Prods,Semiconductors
US Steel,Materials
Cap Gemini Ernst & Young,Software & services
Legg Mason,Diversified financials
Zimmer Holdings,Health care equipment & services
Rinker Group,Construction
Bankinter,Banking
Abertis Infraestructuras,Transportation
AmBev,Food drink & tobacco
Freeport Copper,Materials
Asustek Computer,Technology hardware & equipment
Laboratory Corp Amer,Health care equipment & services
Johnson Matthey,Materials
Kone,Construction
Paychex,Business services & supplies
Micron Technology,Semiconductors
Kawasaki Heavy Inds,Capital goods
WW Grainger,Capital goods
Metalurgica Gerdau,Materials
IKB,Banking
PKN Orlen,Oil & gas operations
Axis Capital Holdings,Insurance
Iberia,Transportation
Associated Banc-Corp,Banking
Radian Group,Insurance
CDW,Retailing
Odakyu Electric Railway,Transportation
St Jude Medical,Health care equipment & services
ProLogis,Diversified financials
Unibail,Diversified financials
Phelps Dodge,Materials
Friedman Billings,Diversified financials
HHG,Insurance
Outokumpu,Materials
Carlsberg,Food drink & tobacco
Ashland,Oil & gas operations
Abitibi Consolidated,Materials
China Minsheng Banking,Banking
NTL,Telecommunications services
Hyundai Mobis,Consumer durables
Public Storage,Diversified financials
Goodyear,Consumer durables
Liz Claiborne,Household & personal products
Fluor,Construction
MTN Group,Telecommunications services
Kerr-McGee,Oil & gas operations
EOG Resources,Oil & gas operations
Coventry Health Care,Health care equipment & services
Transocean,Oil & gas operations
OPAP,Hotels restaurants & leisure
Owens-Illinois,Materials
Commerce Bancshs,Banking
Telekom Austria,Telecommunications services
Shinsegae,Retailing
Mercantile Bkshs,Banking
TCF Financial,Banking
Banco BPI,Diversified financials
EMI Group,Media
PICC Property & Casualty,Insurance
Janus Capital Group,Diversified financials
Suzuken,Health care equipment & services
IFIL,Diversified financials
Hanwha,Trading companies
American Finl Group,Insurance
Darden Restaurants,Hotels restaurants & leisure
Samsung South,Trading companies
Goodrich,Aerospace & defense
Rite Aid,Retailing
General Property Trust,Diversified financials
Health Management,Health care equipment & services
Chiron,Drugs & biotechnology
TRW Automotive Holdings,Consumer durables
Cez,Utilities
Bank Central Asia,Banking
Hong Kong & China Gas,Utilities
Nitto Denko,Chemicals
Amazon.com,Retailing
Ingram Micro,Technology hardware & equipment
Kasikornbank,Banking
Seibu Railway,Transportation
Turkiye Garanti Bankasi,Banking
Apollo-Education Group,Business services & supplies
Rogers Communications,Telecommunications services
Onex,Business services & supplies
Li & Fung,Trading companies
Concord EFS,Business services & supplies
Visteon,Consumer durables
Royal Numico,Food drink & tobacco
Quebecor,Media
Moody`s,Business services & supplies
Turkcell,Telecommunications services
iStar Financial,Diversified financials
Intuit,Software & services
Linear Technology,Semiconductors
NVR,Construction
Banca Popolare di Milano,Banking
IMS Health,Health care equipment & services
Commerce Asset Holding,Banking
Kmart Holding,Retailing
Grupo Financiero Banorte,Banking
Nabors Industries,Oil & gas operations
Ross Stores,Retailing
Publishing & Broadcasting,Media
Tokyo Electron,Semiconductors
CSR Group,Construction
Biomet,Health care equipment & services
China Development Finl,Banking
Alliant Energy,Utilities
RenaissanceRe Holdings,Insurance
Smith & Nephew,Health care equipment & services
Rockwell Collins,Aerospace & defense
George Wimpey,Construction
Synthes-Stratec,Health care equipment & services
Cosmo Oil,Oil & gas operations
UNY,Retailing
Yamaha,Household & personal products
Taiwan Cellular,Telecommunications services
Kimco Realty,Diversified financials
Bunzl,Materials
Xstrata,Materials
Bluescope Steel,Materials
Protective Life,Insurance
Foot Locker,Retailing
Xilinx,Semiconductors
Omnicare,Health care equipment & services
Hypo Real Estate Holding,Diversified financials
Showa Denko,Chemicals
Malaysia Intl Shipping,Transportation
Taiheiyo Cement,Construction
Navistar Intl,Consumer durables
Republic Services,Business services & supplies
Verbund-Austrian Electric,Utilities
Taylor Woodrow,Construction
Vulcan Materials,Construction
mg technologies,Chemicals
Eiffage,Construction
Sagem,Technology hardware & equipment
UST,Food drink & tobacco
WellChoice,Health care equipment & services
Yue Yuen Industrial,Household & personal products
Tele2,Telecommunications services
Sime Darby,Conglomerates
Cintas,Business services & supplies
Wendy`s International,Hotels restaurants & leisure
Teijin,Chemicals
Hormel Foods,Food drink & tobacco
Compal Electronics,Technology hardware & equipment
MediaTek,Semiconductors
Wolters Kluwer,Media
Engelhard,Chemicals
Rexam,Materials
ALFA,Conglomerates
Brown-Forman,Food drink & tobacco
Nagoya Railroad,Transportation
Adobe Systems,Software & services
City National,Banking
First Financial Holding,Banking
Taishin Financial Holding,Diversified financials
Gold Fields,Materials
NCR,Technology hardware & equipment
Canadian Tire,Retailing
Impala Platinum Holdings,Materials
Norske Skogindustrier,Materials
Converium Holding,Insurance
Weatherford Intl,Oil & gas operations
Rouse,Diversified financials
Tomen,Trading companies
Nucor,Materials
ArvinMeritor,Consumer durables
Fuji Television Network,Media
Hankyu,Transportation
Mitsubishi Materials,Materials
CMS Energy,Utilities
Hua Nan Financial,Diversified financials
Fast Retailing,Retailing
Rheinmetall,Conglomerates
Takashimaya,Retailing
Galeries Lafayette,Retailing
Italmobiliare,Construction
Embraer,Aerospace & defense
Australian Gas Light,Utilities
Tele Norte Leste,Telecommunications services
BJ Services,Oil & gas operations
Kesko Group,Food markets
Noranda,Materials
GAIL (India),Utilities
GlobalSantaFe,Oil & gas operations
Unitrin,Insurance
Aluminum Corp of China,Materials
Advanced Micro,Semiconductors
Toyo Seikan Kaisha,Materials
NStar,Utilities
Hyundai Heavy Industries,Capital goods
Liberty International,Diversified financials
Charter Commun,Media
Ishikawajima-Harima,Capital goods
Mylan Labs,Drugs & biotechnology
Coca-Cola HBC,Food drink & tobacco
Furukawa Electric,Capital goods
Assa Abloy,Capital goods
Avaya,Technology hardware & equipment
Tate & Lyle Group,Food drink & tobacco
Daito Trust Construction,Construction
Hoya,Technology hardware & equipment
Continental Airlines,Transportation
Isuzu Motors,Consumer durables
Tele & Data Systems,Telecommunications services
Invensys,Capital goods
Bank Negara Indonesia,Banking
EW Scripps,Media
Eastman Chemical,Chemicals
Nexen,Oil & gas operations
Chiba Bank,Banking
Ryder System,Business services & supplies
Biogen Idec,Drugs & biotechnology
Mirant,Utilities
Avnet,Technology hardware & equipment
Astra International,Consumer durables
Canara Bank,Banking
Dynegy,Oil & gas operations
Allmerica Financial,Insurance
Keio Electric Railway,Transportation
Keyence,Technology hardware & equipment
Julius Baer Holding,Diversified financials
Hua Xia Bank,Banking
Host Marriott,Diversified financials
DST Systems,Software & services
Hynix Semiconductor,Semiconductors
Hochtief,Construction
Pactiv,Materials
Bank of Greece,Banking
Mediolanum,Insurance
Nippon TV Network,Media
Punjab National Bank,Banking
Advanced Info Service,Telecommunications services
Sekisui Chemical,Construction
Korean Air,Transportation
Pioneer Natural Res,Oil & gas operations
Plum Creek Timber,Materials
Thornburg Mortgage,Diversified financials
Gecina,Diversified financials
PMI Group,Insurance
Toll Brothers,Construction
Bidvest Group,Conglomerates
Kesa Electricals,Retailing
XTO Energy,Oil & gas operations
Petrol Ofisi,Oil & gas operations
Hermes International,Household & personal products
Omron,Business services & supplies
Jabil Circuit,Technology hardware & equipment
Lend Lease,Diversified financials
Tupras-Turkiye Petrol,Oil & gas operations
LG Corp,Chemicals
Essilor International,Health care equipment & services
Duke Realty,Diversified financials
AU Optronics,Technology hardware & equipment
Brunswick,Consumer durables
Smith International,Oil & gas operations
ITC,Food drink & tobacco
Dogan Holding,Capital goods
Scor,Insurance
Acer,Technology hardware & equipment
Level 3 Commun,Telecommunications services
Barratt Developments,Construction
Universal Health,Health care equipment & services
Brisa,Transportation
Helvetia Patria,Insurance
Infosys Technologies,Business services & supplies
Boise Cascade,Materials
KKPC-Korea Kumho,Chemicals
Brinker International,Hotels restaurants & leisure
Thai Airways Intl,Transportation
Banca Popolare di Lodi,Banking
Kelda Group,Utilities
Avalonbay Communities,Diversified financials
Webster Financial,Banking
AmerUs Group,Insurance
Dainippon Ink & Chems,Chemicals
China Resources Ent,Conglomerates
IKON Office Solutions,Business services & supplies
Alps Electric,Business services & supplies
Imerys,Construction
Nikon,Semiconductors
Smithfield Foods,Food drink & tobacco
Funai Electric,Consumer durables
RR Donnelley & Sons,Media
T Rowe Price,Diversified financials
Sky Financial Group,Banking
Daiichi Pharmaceutical,Drugs & biotechnology
Franz Colruyt,Food markets
Wipro,Business services & supplies
Bank of India,Banking
Triad Hospitals,Health care equipment & services
Premcor,Oil & gas operations
Arrow Electronics,Technology hardware & equipment
Mitchells & Butlers,Hotels restaurants & leisure
Aareal Bank,Diversified financials
Sonae SGPS,Conglomerates
Diamond Lease,Diversified financials
Enterprise Inns,Hotels restaurants & leisure
Coca-Cola Amatil,Food drink & tobacco
Coach,Household & personal products
Check Point,Software & services
Hillenbrand Inds,Health care equipment & services
KLM,Transportation
Bank of Baroda,Banking
Hachijuni Bank,Banking
Persimmon,Construction
Flagstar Bancorp,Banking
Adolph Coors,Food drink & tobacco
Hasbro,Household & personal products
Aker Kvaerner,Oil & gas operations
Clariant,Chemicals
Dollar Tree Stores,Retailing
Banca Carige,Banking
BOK Financial,Banking
Slough Estates,Diversified financials
Industrivarden,Construction
Celanese,Chemicals
Hagemeyer,Trading companies
Banque Nat de Belgique,Banking
Apartment Investment,Diversified financials
KLA-Tencor,Semiconductors
Oneok,Utilities
Espirito Santo Finl,Banking
Groupe Bruxelles Lambert,Diversified financials
Vendex KBB,Retailing
HDFC-Housing Devel,Diversified financials
Citizens Commun,Telecommunications services
Lyondell Chemical,Chemicals
Nippon Meat Packers,Food drink & tobacco
Altera,Semiconductors
Barnes & Noble,Retailing
SAS Group,Transportation
Joyo Bank,Banking
Colonial BancGroup,Banking
Rhodia,Chemicals
McCormick & Co,Food drink & tobacco
Nippon Shinpan,Diversified financials
Maxis Communications,Telecommunications services
Steel Authority of India,Materials
Valley Natl Bancorp,Banking
Fuji Electric,Capital goods
Thermo Electron,Health care equipment & services
Crown Holdings,Materials
Rank Group,Hotels restaurants & leisure
Whole Foods Market,Food markets
PeopleSoft,Software & services
Hiroshima Bank,Banking
Hanwha Chemical,Chemicals
Bank of Fukuoka,Banking
Technip,Oil & gas operations
CarMax,Retailing
Energizer Holdings,Household & personal products
Dillard`s,Retailing
Wiener Stadtische,Insurance
Kumho Industrial,Consumer durables
Pakistan Telecom,Telecommunications services
Tech Data,Technology hardware & equipment
Annaly Mortgage Mgmt,Diversified financials
Kawasaki Kisen Kaisha,Transportation
KT&G,Food drink & tobacco
Ryanair Holdings,Transportation
Alitalia Group,Transportation
Kuraya Sanseido,Health care equipment & services
Brother Inds,Business services & supplies
MedImmune,Drugs & biotechnology
ITV,Media
New Century Financial,Diversified financials
Chang Hwa Com Bank,Banking
Amdocs,Business services & supplies
Amvescap,Diversified financials
US Airways Group,Transportation
Orient,Diversified financials
Amadeus Global Travel,Business services & supplies
Schindler Holding,Capital goods
Placer Dome,Materials
Westfield Holdings,Diversified financials
Watson Pharma,Drugs & biotechnology
Shoppers Drug Mart,Retailing
International Power,Utilities
Tiffany,Retailing
Signet Group,Retailing
Sacyr-Vallehermoso,Diversified financials
Cattolica Assicurazioni,Insurance
Daily Mail & General,Media
SMC,Capital goods
Coca-Cola Femsa,Food drink & tobacco
TECO Energy,Utilities
Peninsular & Oriental,Transportation
Seiyu,Food markets
Cesky Telecom,Telecommunications services
Imperial Holdings,Transportation
Circuit City Stores,Retailing
Benq,Technology hardware & equipment
Ono Pharmaceutical,Drugs & biotechnology
Hyundai Merchant Marine,Transportation
Federal-Mogul,Consumer durables
Severstal,Materials
Gudang Garam,Food drink & tobacco
PepsiAmericas,Food drink & tobacco
Hovnanian Enterprises,Construction
Markel,Insurance
New World Development Hong,Construction
IndyMac Bancorp,Banking
Phoenix Cos,Insurance
Credit Saison,Diversified financials
Barloworld,Conglomerates
Nippon Electric Glass,Business services & supplies
Michaels Stores,Retailing
SEM-Samsung Electro,Technology hardware & equipment
First BanCorp,Banking
StanCorp Financial,Insurance
Buhrmann,Business services & supplies
US Commercial,Diversified financials
Oki Electric Industry,Business services & supplies
Kerry Group,Food drink & tobacco
Chesapeake Energy,Oil & gas operations
Alberto-Culver,Household & personal products
Hammerson,Diversified financials
FirstMerit,Banking
Credito Emiliano,Banking
Applera-Applied Biosys,Health care equipment & services
Genzyme-General,Drugs & biotechnology
Nurnberger Beteiligungs,Insurance
Outback Steakhouse,Hotels restaurants & leisure
Westcorp,Banking
CH Robinson Worldwide,Transportation
Grupo Mexico,Materials
BCV Group,Banking
SGS,Business services & supplies
LG International,Trading companies
PCCW,Telecommunications services
Bank of Hawaii,Banking
Daewoo Ship & Marine,Capital goods
Garmin,Technology hardware & equipment
Investec,Diversified financials
Grupo Televisa,Media
Fulton Financial,Banking
Givaudan,Household & personal products
Noble Corp,Oil & gas operations
Acerinox,Materials
Beckman Coulter,Health care equipment & services
H Lundbeck,Drugs & biotechnology
Eurotunnel,Transportation
Saks,Retailing
Uniqa,Insurance
Williams-Sonoma,Retailing
Ryland Group,Construction
Singapore Press,Media
Nok,Chemicals
Owens Corning,Construction
Inchcape,Trading companies
Jacobs Engineering,Construction
Domtar,Materials
Cummins,Capital goods
Toyoda Gosei,Consumer durables
American Axle & Mfg,Consumer durables
American Natl Ins,Insurance
Gunma Bank,Banking
William Hill Org,Hotels restaurants & leisure
Wilmington Trust,Banking
Scientific-Atlanta,Technology hardware & equipment
Henry Schein,Health care equipment & services
Network Appliance,Technology hardware & equipment
Expeditors Intl,Transportation
Amer Power Conversion,Technology hardware & equipment
Kawasho,Trading companies
Ispat International,Materials
Barr Pharmaceuticals,Drugs & biotechnology
Polo Ralph Lauren,Household & personal products
CR Bard,Health care equipment & services
Synopsys,Software & services
Sage Group,Software & services
Holmen,Materials
BorgWarner,Consumer durables
Mandalay Resort Group,Hotels restaurants & leisure
Tata Iron & Steel,Materials
Chugoku Bank,Banking
Atos Origin,Business services & supplies
Randstad Holding,Business services & supplies
LandAmerica Financial,Insurance
Pilkington,Construction
Louisiana-Pacific,Materials
Harman International,Technology hardware & equipment
Iscor,Materials
Sapporo Hokuyo,Banking
Waters,Health care equipment & services
Neiman Marcus Group,Retailing
Empire,Food markets
Varian Medical Systems,Health care equipment & services
MONY Group,Insurance
Pusan Bank,Banking
Tokyu Land,Diversified financials
Independence Community,Banking
Legend Group,Technology hardware & equipment
Boral,Construction
Sigma-Aldrich,Chemicals
Ssangyong Motor,Consumer durables
Vedior,Business services & supplies
UTStarcom,Technology hardware & equipment
Storebrand,Insurance
Indl Dev Bank of India,Banking
Potash of Saskatchewan,Chemicals
Finansbank,Banking
Hokugin Financial Group,Banking
Agricultural Bank Greece,Banking
SNCF Participations,Transportation
Microchip Technology,Semiconductors
Aracruz Celulose,Materials
Bank,Banking
Manor Care,Health care equipment & services
AG Edwards,Diversified financials
Puma,Household & personal products
voestalpine,Materials
M6-Metropole Television,Media
Daegu Bank,Banking
NCC Group,Construction
Cimpor-Cimentos Portugal,Construction
Maytag,Consumer durables
USG,Construction
Hays,Business services & supplies
TransAlta,Utilities
Financiere de l`Odet,Transportation
Esprit Holdings,Retailing
Arch Capital Group,Insurance
AMB Property,Diversified financials
OGE Energy,Utilities
Keihin Electric Express,Transportation
Johnson Electric Holdings,Capital goods
Beijing Datang Power,Utilities
Iyo Bank,Banking
W Holding,Banking
Air Canada,Transportation
Bank of Kyoto,Banking
Impac Mortgage Holding,Diversified financials
Lite-On Technology,Technology hardware & equipment
BancorpSouth,Banking
Yamaguchi Bank,Banking
Mitsukoshi,Retailing
Fuji Fire & Marine,Insurance
Nissay Dowa General Ins,Insurance
Singapore Technologies,Aerospace & defense
Developers Diversified Realty,Diversified financials
Provident Finl Group,Banking
BJ`s Wholesale Club,Retailing
Cullen/Frost Bankers,Banking
Hyundai South,Trading companies
Kanematsu,Trading companies
Advance Auto Parts,Retailing
Perodua,Consumer durables
Nanto Bank,Banking
Reebok International,Household & personal products
Bilfinger & Berger,Construction
Investors Financial,Diversified financials
Daishi Bank,Banking
Danisco,Food drink & tobacco
Japan Securities Fin,Diversified financials
UBE Industries,Chemicals
Kimberly-Clark de Mexico,Household & personal products
Petsmart,Retailing
WPS Resources,Utilities
Dun & Bradstreet,Business services & supplies
Pogo Producing,Oil & gas operations
Fremont General,Banking
Juroku Bank,Banking
Nishi-Nippon Bank,Banking
Tiger Brands,Food drink & tobacco
Ranbaxy Laboratories,Drugs & biotechnology
Nishimatsu Construction,Construction
Petronas Gas,Oil & gas operations
Enagas,Oil & gas operations
MDU Resources,Utilities
Shiga Bank,Banking
Shenzhen Development Bk,Banking
Canary Wharf Group,Diversified financials
Doosan,Trading companies
Lincare Holdings,Health care equipment & services
Commercial Bank of Greece,Banking
Terumo,Health care equipment & services
Hyakugo Bank,Banking
Beazer Homes USA,Construction
ASML Holding,Software & services
San-In Godo Bank,Banking
Metso,Capital goods
CapitaLand,Diversified financials
Molex,Technology hardware & equipment
Hyakujushi Bank,Banking
Federated Investors,Diversified financials
Union Bank of India,Banking
NSK,Capital goods
Kaneka,Chemicals
IVAX,Drugs & biotechnology
Banca CR Firenze,Banking
Israel Discount Bank,Banking
Montpelier Re Holdings,Insurance
Leucadia National,Diversified financials
Yamada Denki,Retailing
SembCorp Industries,Capital goods
FirstGroup,Transportation
Hokkaido Bank,Banking
Kanebo,Household & personal products
Grupo Bimbo,Food drink & tobacco
Winn-Dixie Stores,Food markets
Higo Bank,Banking
Ogaki Kyoritsu Bank,Banking
Sumitomo Metal Mining,Materials
Shinko Securities,Diversified financials
Tokyo Leasing,Retailing
Tesoro Petroleum,Oil & gas operations
BW Bank,Banking
Liberty Property,Diversified financials
Provident Financial Plc,Diversified financials
EON-Edaran Otomobil,Retailing
Nomura Research Institute,Business services & supplies
Taiwan Business Bank,Banking
Autogrill,Hotels restaurants & leisure
Tatung,Conglomerates
Seino Transportation,Transportation
Bemis,Materials
Schroders,Diversified financials
San Miguel,Food drink & tobacco
Storage Technology,Technology hardware & equipment
MDC Holdings,Construction
CJ,Food drink & tobacco
Molson,Food drink & tobacco
Intl Flavors & Frags,Chemicals
CSM,Food drink & tobacco
Van Lanschot,Diversified financials
Yanzhou Coal Mining,Materials
Fraser & Neave,Food drink & tobacco
Grupo Financiero Inbursa,Banking
Western Digital,Technology hardware & equipment
Great A&P Tea,Food markets
NOVA Chemicals,Chemicals
Genting,Hotels restaurants & leisure
Diebold,Business services & supplies
People`s Bank,Banking
Nidec,Capital goods
Gilead Sciences,Drugs & biotechnology
Toda,Construction
Fisher Scientific,Health care equipment & services
Kagoshima Bank,Banking
Regal Entertainment Group,Media
Allergan,Drugs & biotechnology
Hong Leong Credit,Diversified financials
Washington Federal,Banking
GTech Holdings,Hotels restaurants & leisure
Equifax,Business services & supplies
Broadcom,Semiconductors
Dentsply Intl,Health care equipment & services
EMAP,Media
Neptune Orient Lines,Transportation
Nissin Food Products,Food drink & tobacco
Patterson Dental,Health care equipment & services
Fukuoka City Bank,Banking
Cephalon,Drugs & biotechnology
Downey Financial,Banking
Hokkoku Bank,Banking
Jean Coutu Group,Retailing
Guoco Group,Diversified financials
Allete,Conglomerates
Dassault Systemes,Software & services
Dow Jones,Media
City Developments,Diversified financials
Isetan,Retailing
Leopalace21,Diversified financials
Jaccs,Diversified financials
Suruga Bank,Banking
Hanjin Shipping,Transportation
Musashino Bank,Banking
Sonic Automotive,Retailing
Metro Inc,Food markets
Kiyo Bank,Banking
Sumisho Lease,Diversified financials
AmeriCredit,Diversified financials
Toho Bank,Banking
Weight Watchers Intl,Business services & supplies
Pentair,Conglomerates
BEA Systems,Software & services
Momiji Holdings,Banking
Group 4 Falck,Business services & supplies
Shanghai Automotive,Consumer durables
Bank of Nagoya,Banking
Maxtor,Technology hardware & equipment
Shire Pharmaceuticals,Drugs & biotechnology
Central Leasing,Diversified financials
Fresh Del Monte,Food drink & tobacco
Sankyo (machinery),Consumer durables
Kyushu-Shinwa Holdings,Banking
Denway Motors,Consumer durables
Bank of Bermuda,Banking
Juniper Networks,Technology hardware & equipment
Keiyo Bank,Banking
Ebara,Capital goods
Erie Indemnity,Insurance
Kumagai Gumi,Construction
Travis Perkins,Retailing
Jyske Bank,Banking
Maruha,Food drink & tobacco
Shionogi & Co,Drugs & biotechnology
Teekay Shipping,Transportation
Rent-A-Center,Retailing
TabCorp Holdings,Hotels restaurants & leisure
QLogic,Semiconductors
Health Care Property,Diversified financials
Transmontaigne,Oil & gas operations
IDB Holding,Diversified financials
Yamazaki Baking,Food drink & tobacco
Buderus,Construction
SEI Investments,Diversified financials
Oita Bank,Banking
Kuhne & Nagel Intl,Transportation
Hyundai Eng & Const,Construction
Puget Energy,Utilities
Shikoku Bank,Banking
Community Health Sys,Health care equipment & services
Awa Bank,Banking
Toto,Construction
JSR,Chemicals
Stanley Works,Consumer durables
AWG,Utilities
Yamanashi Chou Bank,Banking
Maeda,Construction
Macerich,Diversified financials
Jiangsu Expressway,Transportation
R&G Financial,Banking
Questar,Utilities
Britannic Group,Insurance
Marconi,Technology hardware & equipment
Hanshin Construction,Construction
Tokyo Tomin Bank,Banking
Teck Cominco,Materials
Service Corp Intl,Business services & supplies
Bank of Iwate,Banking
Hudson United Bancorp,Banking
Swedish Match,Food drink & tobacco
Aichi Bank,Banking
AK Steel Holding,Materials
Sonoco Products,Materials
Casio Computer,Business services & supplies
Abercrombie & Fitch,Retailing
BPB,Construction
Commercial Federal,Banking
Intl Bancshares,Banking
Soriana,Retailing
Akita Bank,Banking
United Auto Group,Retailing
Endurance Specialty,Insurance
South Financial Group,Banking
CNF,Transportation
Sumitomo Heavy Inds,Capital goods
INI Steel,Materials
Great Plains Energy,Utilities
Rashid Hussain,Banking
Eighteenth Bank,Banking
DaVita,Health care equipment & services
Seat-Pagine Gialle,Business services & supplies
Aomori Bank,Banking
Big Food Group,Food markets
Enka,Construction
Allegheny Energy,Utilities
Convergys,Business services & supplies
Mabuchi Motor,Capital goods
Pall,Health care equipment & services
National Fuel Gas,Utilities
ChoicePoint,Business services & supplies
Vimpel Communications,Telecommunications services
Chi Mei Optoelectronics,Technology hardware & equipment
Shin Kong Financial,Insurance
Mitsui Engineering & Ship,Capital goods
Trustmark,Banking
Fukui Bank,Banking
Pacific Century Regional,Telecommunications services
Standard Pacific,Construction
Redwood Trust,Diversified financials
Shaw Communications,Media
DPL,Utilities
YTL,Utilities
Minara Resources,Materials
Salzgitter,Materials
Santos,Oil & gas operations
Tochigi Bank,Banking
Hawaiian Electric,Utilities
Gambro,Health care equipment & services
Moore Wallace,Business services & supplies
Nippon Light Metal,Materials
LogicaCMG,Business services & supplies
Chiba Kogyo Bank,Banking
Guangdong Electric Power,Utilities
Michinoku Bank,Banking
ISS,Business services & supplies
Career Education,Business services & supplies
Basler Kantonalbank,Banking
Sumikin Bussan,Trading companies
Bowater,Materials
Somerfield,Food markets
United Mizrahi Bank,Banking
CSK,Software & services
Mercury General,Insurance
Ensco International,Oil & gas operations
Belo,Media
Bank of Ikeda,Banking
Hyosung South,Household & personal products
Merloni Elettrodomestici,Consumer durables
Bank of Saga,Banking
ServiceMaster,Business services & supplies
Hokuetsu Bank,Banking
Mercantil Servicios Fin,Diversified financials
Arriva,Transportation
International Steel Group,Materials
Metro Cash and Carry South,Food markets
Siam Commercial Bank,Banking
Pixar,Media
Aplus,Diversified financials
Woodside Petroleum,Oil & gas operations
AVA,Retailing
McClatchy,Media
Central European Media,Media
Trizec Properties,Diversified financials
Bayerische Immobilien,Diversified financials
Cosco Pacific,Transportation
MyTravel Group,Hotels restaurants & leisure
Piraeus Bank,Banking
Northumbrian Water,Utilities
Tosoh,Chemicals
Far EasTone Telecom,Telecommunications services
Nisshin Steel,Materials
Del Monte Foods,Food drink & tobacco
Kangwon Land,Hotels restaurants & leisure
AMMB Holdings,Diversified financials
Ceridian,Business services & supplies
Vishay Intertech,Technology hardware & equipment
Viad,Business services & supplies
SPAR Handels,Food markets
Newfield Exploration,Oil & gas operations
Yamagata Bank,Banking
Sierra Pacific Res,Utilities
Advantest,Software & services
Farmers Bank of China,Banking
Banco Pastor,Banking
Daimaru,Retailing
Samsung Heavy Industries,Capital goods
Balfour Beatty,Construction
Towa Bank,Banking
Red Eectrica de Espaqa,Utilities
China Motor,Consumer durables
Daio Paper,Materials
Old National Bncp,Banking
Dah Sing Financial,Banking
AEM,Utilities
Antofagasta,Materials
Research In Motion,Technology hardware & equipment
Nippon Steel Trading,Trading companies
SpectraSite,Telecommunications services
Capitol Federal Finl,Banking
Laidlaw International,Transportation
Higashi-Nippon Bank,Banking
Tokyo Broadcasting System,Media
Investkredit Bank,Banking
CBD-Brasil Distribuieco,Trading companies
WMC Resources,Materials
Brasil Telecom,Telecommunications services
BEKB-BCBE,Banking
Stockland Australia,Diversified financials
Miyazaki Bank,Banking
Associated British Ports,Transportation
Equitable Resources,Utilities
Siebel Systems,Software & services
Mahanagar Telephone Nigam,Telecommunications services
Greater Bay Bancorp,Banking
Meiji Dairies,Food drink & tobacco
Natl Semiconductor,Semiconductors
Borders,Retailing
FIBI Holding,Banking
Snow Brand Milk,Food drink & tobacco
JDS Uniphase,Technology hardware & equipment
Arthur J Gallagher,Insurance
LG Construction,Construction
Gamesa,Capital goods
Berkeley Group,Construction
Hanjaya Mandala Sampoerna,Food drink & tobacco
Agere Systems,Semiconductors
Daisan Bank,Banking
OKO Bank,Banking
First Citizens Bcshs,Banking
Bausch & Lomb,Health care equipment & services
St Galler Kantonalbank,Banking
Wing Lung Bank,Banking
Avtovaz,Consumer durables
Arcelik,Consumer durables
Buenaventura,Materials
Whitney Holding,Banking
Chukyo Bank,Banking
Axel Springer,Media
ICAP,Diversified financials
Metro-Goldwyn-Mayer,Media
Ehime Bank,Banking
CMPC,Materials
Finova Group,Diversified financials
Grupo Imsa,Capital goods
Hanwa,Trading companies
Hewitt Associates,Business services & supplies
Punch Taverns,Hotels restaurants & leisure
Falabella,Retailing
Laurus,Food markets
Alliant Techsystems,Aerospace & defense
